,Date,Label
0,2008-08-08,0
1,2008-08-11,1
2,2008-08-12,0
3,2008-08-13,0
4,2008-08-14,1
5,2008-08-15,1
6,2008-08-18,0
7,2008-08-19,0
8,2008-08-20,1
9,2008-08-21,1
10,2008-08-22,1
11,2008-08-25,0
12,2008-08-26,1
13,2008-08-27,1
14,2008-08-28,1
15,2008-08-29,0
16,2008-09-02,0
17,2008-09-03,1
18,2008-09-04,0
19,2008-09-05,1
20,2008-09-08,1
21,2008-09-09,0
22,2008-09-10,1
23,2008-09-11,1
24,2008-09-12,0
25,2008-09-15,0
26,2008-09-16,1
27,2008-09-17,0
28,2008-09-18,1
29,2008-09-19,1
30,2008-09-22,0
31,2008-09-23,0
32,2008-09-24,0
33,2008-09-25,1
34,2008-09-26,1
35,2008-09-29,0
36,2008-09-30,1
37,2008-10-01,0
38,2008-10-02,0
39,2008-10-03,0
40,2008-10-06,0
41,2008-10-07,0
42,2008-10-08,0
43,2008-10-09,0
44,2008-10-10,0
45,2008-10-13,1
46,2008-10-14,0
47,2008-10-15,0
48,2008-10-16,1
49,2008-10-17,0
50,2008-10-20,1
51,2008-10-21,0
52,2008-10-22,0
53,2008-10-23,1
54,2008-10-24,0
55,2008-10-27,0
56,2008-10-28,1
57,2008-10-29,0
58,2008-10-30,1
59,2008-10-31,1
60,2008-11-03,0
61,2008-11-04,1
62,2008-11-05,0
63,2008-11-06,0
64,2008-11-07,1
65,2008-11-10,0
66,2008-11-11,0
67,2008-11-12,0
68,2008-11-13,1
69,2008-11-14,0
70,2008-11-17,0
71,2008-11-18,1
72,2008-11-19,0
73,2008-11-20,0
74,2008-11-21,1
75,2008-11-24,1
76,2008-11-25,1
77,2008-11-26,1
78,2008-11-28,1
79,2008-12-01,0
80,2008-12-02,1
81,2008-12-03,1
82,2008-12-04,0
83,2008-12-05,1
84,2008-12-08,1
85,2008-12-09,0
86,2008-12-10,1
87,2008-12-11,0
88,2008-12-12,1
89,2008-12-15,0
90,2008-12-16,1
91,2008-12-17,0
92,2008-12-18,0
93,2008-12-19,0
94,2008-12-22,0
95,2008-12-23,0
96,2008-12-24,1
97,2008-12-26,1
98,2008-12-29,0
99,2008-12-30,1
100,2008-12-31,1
101,2009-01-02,1
102,2009-01-05,0
103,2009-01-06,1
104,2009-01-07,0
105,2009-01-08,0
106,2009-01-09,0
107,2009-01-12,0
108,2009-01-13,0
109,2009-01-14,0
110,2009-01-15,1
111,2009-01-16,1
112,2009-01-20,0
113,2009-01-21,1
114,2009-01-22,0
115,2009-01-23,0
116,2009-01-26,1
117,2009-01-27,1
118,2009-01-28,1
119,2009-01-29,0
120,2009-01-30,0
121,2009-02-02,0
122,2009-02-03,1
123,2009-02-04,0
124,2009-02-05,1
125,2009-02-06,1
126,2009-02-09,0
127,2009-02-10,0
128,2009-02-11,1
129,2009-02-12,0
130,2009-02-13,0
131,2009-02-17,0
132,2009-02-18,1
133,2009-02-19,0
134,2009-02-20,0
135,2009-02-23,0
136,2009-02-24,1
137,2009-02-25,0
138,2009-02-26,0
139,2009-02-27,0
140,2009-03-02,0
141,2009-03-03,0
142,2009-03-04,1
143,2009-03-05,0
144,2009-03-06,1
145,2009-03-09,0
146,2009-03-10,1
147,2009-03-11,1
148,2009-03-12,1
149,2009-03-13,1
150,2009-03-16,0
151,2009-03-17,1
152,2009-03-18,1
153,2009-03-19,0
154,2009-03-20,0
155,2009-03-23,1
156,2009-03-24,0
157,2009-03-25,1
158,2009-03-26,1
159,2009-03-27,0
160,2009-03-30,0
161,2009-03-31,1
162,2009-04-01,1
163,2009-04-02,1
164,2009-04-03,1
165,2009-04-06,0
166,2009-04-07,0
167,2009-04-08,1
168,2009-04-09,1
169,2009-04-13,0
170,2009-04-14,0
171,2009-04-15,1
172,2009-04-16,1
173,2009-04-17,1
174,2009-04-20,0
175,2009-04-21,1
176,2009-04-22,0
177,2009-04-23,1
178,2009-04-24,1
179,2009-04-27,0
180,2009-04-28,0
181,2009-04-29,1
182,2009-04-30,0
183,2009-05-01,1
184,2009-05-04,1
185,2009-05-05,0
186,2009-05-06,1
187,2009-05-07,0
188,2009-05-08,1
189,2009-05-11,0
190,2009-05-12,1
191,2009-05-13,0
192,2009-05-14,1
193,2009-05-15,0
194,2009-05-18,1
195,2009-05-19,0
196,2009-05-20,0
197,2009-05-21,0
198,2009-05-22,0
199,2009-05-26,1
200,2009-05-27,0
201,2009-05-28,1
202,2009-05-29,1
203,2009-06-01,1
204,2009-06-02,1
205,2009-06-03,0
206,2009-06-04,1
207,2009-06-05,1
208,2009-06-08,1
209,2009-06-09,0
210,2009-06-10,0
211,2009-06-11,1
212,2009-06-12,1
213,2009-06-15,0
214,2009-06-16,0
215,2009-06-17,0
216,2009-06-18,1
217,2009-06-19,0
218,2009-06-22,0
219,2009-06-23,0
220,2009-06-24,0
221,2009-06-25,1
222,2009-06-26,0
223,2009-06-29,1
224,2009-06-30,0
225,2009-07-01,1
226,2009-07-02,0
227,2009-07-06,1
228,2009-07-07,0
229,2009-07-08,1
230,2009-07-09,1
231,2009-07-10,0
232,2009-07-13,1
233,2009-07-14,1
234,2009-07-15,1
235,2009-07-16,1
236,2009-07-17,1
237,2009-07-20,1
238,2009-07-21,1
239,2009-07-22,0
240,2009-07-23,1
241,2009-07-24,1
242,2009-07-27,1
243,2009-07-28,0
244,2009-07-29,0
245,2009-07-30,1
246,2009-07-31,1
247,2009-08-03,1
248,2009-08-04,1
249,2009-08-05,0
250,2009-08-06,0
251,2009-08-07,1
252,2009-08-10,0
253,2009-08-11,0
254,2009-08-12,1
255,2009-08-13,1
256,2009-08-14,0
257,2009-08-17,0
258,2009-08-18,1
259,2009-08-19,1
260,2009-08-20,1
261,2009-08-21,1
262,2009-08-24,1
263,2009-08-25,1
264,2009-08-26,1
265,2009-08-27,1
266,2009-08-28,0
267,2009-08-31,0
268,2009-09-01,0
269,2009-09-02,0
270,2009-09-03,1
271,2009-09-04,1
272,2009-09-08,1
273,2009-09-09,1
274,2009-09-10,1
275,2009-09-11,0
276,2009-09-14,1
277,2009-09-15,1
278,2009-09-16,1
279,2009-09-17,0
280,2009-09-18,1
281,2009-09-21,0
282,2009-09-22,1
283,2009-09-23,0
284,2009-09-24,0
285,2009-09-25,0
286,2009-09-28,1
287,2009-09-29,0
288,2009-09-30,0
289,2009-10-01,0
290,2009-10-02,0
291,2009-10-05,1
292,2009-10-06,1
293,2009-10-07,0
294,2009-10-08,1
295,2009-10-09,1
296,2009-10-12,1
297,2009-10-13,0
298,2009-10-14,1
299,2009-10-15,1
300,2009-10-16,0
301,2009-10-19,1
302,2009-10-20,0
303,2009-10-21,0
304,2009-10-22,1
305,2009-10-23,0
306,2009-10-26,0
307,2009-10-27,1
308,2009-10-28,0
309,2009-10-29,1
310,2009-10-30,0
311,2009-11-02,1
312,2009-11-03,0
313,2009-11-04,1
314,2009-11-05,1
315,2009-11-06,1
316,2009-11-09,1
317,2009-11-10,1
318,2009-11-11,1
319,2009-11-12,0
320,2009-11-13,1
321,2009-11-16,1
322,2009-11-17,1
323,2009-11-18,0
324,2009-11-19,0
